mtime,rtime,T1,T2,T3,T4
233108811769,1530930236400558,0.0,0.0,0.0,0.0
233109311655,1530930236900442,0.0,0.0,0.0,0.0
233109811653,1530930237400440,0.0,0.0,0.0,0.0
233110311646,1530930237900433,0.0,0.0,0.0,0.0
233110811665,1530930238400452,0.0,0.0,0.0,0.0
233111311686,1530930238900473,0.0,0.0,0.0,0.0
233111811702,1530930239400489,0.0,0.0,0.0,0.0
233112311699,1530930239900486,0.0,0.0,0.0,0.0
233112811715,1530930240400502,0.0,0.0,0.0,0.0
233113311706,1530930240900493,0.0,0.0,0.0,0.0
233113811644,1530930241400431,0.0,0.0,0.0,0.0
233114311729,1530930241900516,0.0,0.0,0.0,0.0
233114811809,1530930242400597,0.0,0.0,0.0,0.0
233115311734,1530930242900521,0.0,0.0,0.0,0.0
233115811736,1530930243400523,0.0,0.0,0.0,0.0
233116311754,1530930243900541,0.0,0.0,0.0,0.0
233116811784,1530930244400570,0.0,0.0,0.0,0.0
233117311784,1530930244900571,0.0,0.0,0.0,0.0
233117811786,1530930245400573,0.0,0.0,0.0,0.0
233118311785,1530930245900573,0.0,0.0,0.0,0.0
233118811824,1530930246400611,0.0,0.0,0.0,0.0
233119311826,1530930246900613,0.0,0.0,0.0,0.0
233119811833,1530930247400620,0.0,0.0,0.0,0.0
233120311839,1530930247900626,0.0,0.0,0.0,0.0
233120811852,1530930248400639,0.0,0.0,0.0,0.0
233121311846,1530930248900633,0.0,0.0,0.0,0.0
233121811854,1530930249400641,0.0,0.0,0.0,0.0
233122311872,1530930249900659,0.0,0.0,0.0,0.0
233122811893,1530930250400680,0.0,0.0,0.0,0.0
233123311877,1530930250900664,0.0,0.0,0.0,0.0
233123811880,1530930251400667,0.0,0.0,0.0,0.0
233124311900,1530930251900687,0.0,0.0,0.0,0.0
233124811921,1530930252400708,0.0,0.0,0.0,0.0
233125311908,1530930252900695,0.0,0.0,0.0,0.0
233125811935,1530930253400722,0.0,0.0,0.0,0.0
233126311900,1530930253900687,0.0,0.0,0.0,0.0
233126811924,1530930254400711,0.0,0.0,0.0,0.0
233127311940,1530930254900727,0.0,0.0,0.0,0.0
233127811952,1530930255400739,0.0,0.0,0.0,0.0
233128311956,1530930255900743,0.0,0.0,0.0,0.0
233128811979,1530930256400766,0.0,0.0,0.0,0.0
233129311966,1530930256900753,0.0,0.0,0.0,0.0
233129811982,1530930257400769,0.0,0.0,0.0,0.0
233130311988,1530930257900774,0.0,0.0,0.0,0.0
233130811985,1530930258400772,0.0,0.0,0.0,0.0
233131311983,1530930258900770,0.0,0.0,0.0,0.0
233131812003,1530930259400790,0.0,0.0,0.0,0.0
233132311994,1530930259900781,0.0,0.0,0.0,0.0
233132812039,1530930260400826,0.0,0.0,0.0,0.0
233133312031,1530930260900818,0.0,0.0,0.0,0.0
233133812022,1530930261400810,0.0,0.0,0.0,0.0
233134312044,1530930261900831,0.0,0.0,0.0,0.0
233134812060,1530930262400847,0.0,0.0,0.0,0.0
233135312038,1530930262900825,0.0,0.0,0.0,0.0
233135812071,1530930263400858,0.0,0.0,0.0,0.0
233136312068,1530930263900855,0.0,0.0,0.0,0.0
233136812073,1530930264400860,0.0,0.0,0.0,0.0
233137312093,1530930264900880,0.0,0.0,0.0,0.0
233137812118,1530930265400905,0.0,0.0,0.0,0.0
233138312103,1530930265900890,0.0,0.0,0.0,0.0
233138812112,1530930266400899,0.0,0.0,0.0,0.0
